Name,Ticker,Sector,Category
NTT DATA Corporation,9613-JP,Information Technology,MSCI ACWI ex-US
Kuehne & Nagel International AG,KNIN-CH,Industrials,MSCI ACWI ex-US
3i Group plc,III-GB,Financials,MSCI ACWI ex-US
Mitsubishi Estate Company Limited,8802-JP,Real Estate,MSCI ACWI ex-US
MS&AD Insurance Group Holdings Inc.,8725-JP,Financials,MSCI ACWI ex-US
Rio Tinto Limited,RIO-AU,Materials,MSCI ACWI ex-US
Compagnie Generale des Etablissements Michelin SCA,ML-FR,Consumer Discretionary,MSCI ACWI ex-US
TDK Corporation,6762-JP,Information Technology,MSCI ACWI ex-US
BAE Systems plc,BA-GB,Industrials,MSCI ACWI ex-US
Orange SA,ORA-FR,Communication Services,MSCI ACWI ex-US
Saudi National Bank,1180-SA,Financials,MSCI ACWI ex-US
Franco-Nevada Corporation,FNV-CA,Materials,MSCI ACWI ex-US
Emaar The Economic City,4220-SA,Real Estate,MSCI ACWI ex-US
Geely Automobile Holdings Limited,175-HK,Consumer Discretionary,MSCI ACWI ex-US
Epiroc AB Class B,EPI.B-SE,Industrials,MSCI ACWI ex-US
PT Bank Central Asia Tbk,BBCA-ID,Financials,MSCI ACWI ex-US
Publicis Groupe SA,PUB-FR,Communication Services,MSCI ACWI ex-US
Skandinaviska Enskilda Banken AB Class A,SEB.A-SE,Financials,MSCI ACWI ex-US
PT Bank Rakyat Indonesia (Persero) Tbk Class B,BBRI-ID,Financials,MSCI ACWI ex-US
Banco Bradesco S.A. Sponsored ADR Pfd,BBD,Financials,MSCI ACWI ex-US
BYD Company Limited Class H,1211-HK,Consumer Discretionary,MSCI ACWI ex-US
Telefonica SA,TEF-ES,Communication Services,MSCI ACWI ex-US
Samsung SDI Co. Ltd,006400-KR,Information Technology,MSCI ACWI ex-US
Itau Unibanco Holding S.A. Sponsored ADR Pfd,ITUB,Financials,MSCI ACWI ex-US
Evolution AB,EVO-SE,Consumer Discretionary,MSCI ACWI ex-US
Sage Group plc,SGE-GB,Information Technology,MSCI ACWI ex-US
Erste Group Bank AG,EBS-AT,Financials,MSCI ACWI ex-US
UCB S.A.,UCB-BE,Health Care,MSCI ACWI ex-US
Sampo Oyj Class A,SAMPO-FI,Financials,MSCI ACWI ex-US
Canon Inc.,7751-JP,Information Technology,MSCI ACWI ex-US
Husqvarna AB Class B,HUSQ.B-SE,Consumer Discretionary,MSCI ACWI ex-US
Alimentation Couche-Tard Inc. Class B,ATD.B-CA,Consumer Staples,MSCI ACWI ex-US
Smith & Nephew PLC,SN-GB,Health Care,MSCI ACWI ex-US
SEGRO plc,SGRO-GB,Real Estate,MSCI ACWI ex-US
Fomento Economico Mexicano SAB de CV Units Cons. Of 1 ShsB And 4 ShsD,FEMSAUBD-MX,Consumer Staples,MSCI ACWI ex-US
Flutter Entertainment Plc,FLTR-IE,Consumer Discretionary,MSCI ACWI ex-US
China Resources Beer (Holdings) Co. Ltd.,291-HK,Consumer Staples,MSCI ACWI ex-US
RWE AG,RWE-DE,Utilities,MSCI ACWI ex-US
Singapore Exchange Ltd.,S68-SG,Financials,MSCI ACWI ex-US
Deutsche Bank AG,DBK-DE,Financials,MSCI ACWI ex-US
Imperial Brands PLC,IMB-GB,Consumer Staples,MSCI ACWI ex-US
Grupo Financiero Banorte SAB de CV Class O,GFNORTEO-MX,Financials,MSCI ACWI ex-US
M3 Inc.,2413-JP,Health Care,MSCI ACWI ex-US
LG Chem Ltd.,051910-KR,Materials,MSCI ACWI ex-US
Skanska AB Class B,SKA.B-SE,Industrials,MSCI ACWI ex-US
Veolia Environnement SA,VIE-FR,Utilities,MSCI ACWI ex-US
TATNEFT PJSC Sponsored ADR,ATAD-GB,Energy,MSCI ACWI ex-US
NOVATEK JSC Sponsored GDR RegS,NVTK-GB,Energy,MSCI ACWI ex-US
Amadeus IT Group SA Class A,AMS-ES,Information Technology,MSCI ACWI ex-US
TELUS Corporation,T-CA,Communication Services,MSCI ACWI ex-US
Svenska Handelsbanken AB Class A,SHB.A-SE,Financials,MSCI ACWI ex-US
Next plc,NXT-GB,Consumer Discretionary,MSCI ACWI ex-US
UniCredit S.p.A.,UCG-IT,Financials,MSCI ACWI ex-US
Hermes International SCA,RMS-FR,Consumer Discretionary,MSCI ACWI ex-US
Vonovia SE,VNA-DE,Real Estate,MSCI ACWI ex-US
Samsung Electronics Co Ltd Pfd  Non-Voting,005935-KR,Information Technology,MSCI ACWI ex-US
Yamaha Corporation,7951-JP,Consumer Discretionary,MSCI ACWI ex-US
Z Holdings Corporation,4689-JP,Communication Services,MSCI ACWI ex-US
Sun Hung Kai Properties Limited,16-HK,Real Estate,MSCI ACWI ex-US
KB Financial Group Inc.,105560-KR,Financials,MSCI ACWI ex-US
Repsol SA,REP-ES,Energy,MSCI ACWI ex-US
Kia Corporation,000270-KR,Consumer Discretionary,MSCI ACWI ex-US
Stellantis N.V.,STLA-IT,Consumer Discretionary,MSCI ACWI ex-US
Rohm Co. Ltd.,6963-JP,Information Technology,MSCI ACWI ex-US
Canadian Tire Corporation Limited Class A,CTC.A-CA,Consumer Discretionary,MSCI ACWI ex-US
Singapore Telecommunications Limited,Z74-SG,Communication Services,MSCI ACWI ex-US
Aviva plc,AV-GB,Financials,MSCI ACWI ex-US
Neste Corporation,NESTE-FI,Energy,MSCI ACWI ex-US
Suncorp Group Limited,SUN-AU,Financials,MSCI ACWI ex-US
WPP Plc,WPP-GB,Communication Services,MSCI ACWI ex-US
Marubeni Corporation,8002-JP,Industrials,MSCI ACWI ex-US
Sompo HoldingsInc.,8630-JP,Financials,MSCI ACWI ex-US
Swedbank AB Class A,SWED.A-SE,Financials,MSCI ACWI ex-US
Ferrovial S.A.,FER-ES,Industrials,MSCI ACWI ex-US
Fortescue Metals Group Ltd,FMG-AU,Materials,MSCI ACWI ex-US
Japan Tobacco Inc.,2914-JP,Consumer Staples,MSCI ACWI ex-US
Li Ning Company Limited,2331-HK,Consumer Discretionary,MSCI ACWI ex-US
Mizuho Financial Group Inc.,8411-JP,Financials,MSCI ACWI ex-US
Sunny Optical Technology (Group) Co. Ltd.,2382-HK,Information Technology,MSCI ACWI ex-US
POSCO Sponsored ADR,PKX,Materials,MSCI ACWI ex-US
Formosa Plastics Corporation,1301-TW,Materials,MSCI ACWI ex-US
