Name,Ticker,Sector,Category,Weight
Assicurazioni Generali S.p.A.,G-IT,Financials,ACWI ex-US,0.113154
NTT DATA Corporation,9613-JP,Information Technology,ACWI ex-US,0.11311
Kuehne & Nagel International AG,KNIN-CH,Industrials,ACWI ex-US,0.111393
3i Group plc,III-GB,Financials,ACWI ex-US,0.109856
Mitsubishi Estate Company Limited,8802-JP,Real Estate,ACWI ex-US,0.109765
MS&AD Insurance Group Holdings Inc.,8725-JP,Financials,ACWI ex-US,0.107635
Rio Tinto Limited,RIO-AU,Materials,ACWI ex-US,0.105813
Compagnie Generale des Etablissements Michelin SCA,ML-FR,Consumer Discretionary,ACWI ex-US,0.105292
TDK Corporation,6762-JP,Information Technology,ACWI ex-US,0.104923
BAE Systems plc,BA-GB,Industrials,ACWI ex-US,0.104916
Orange SA,ORA-FR,Communication Services,ACWI ex-US,0.104475
Saudi National Bank,1180-SA,Financials,ACWI ex-US,0.104466
Franco-Nevada Corporation,FNV-CA,Materials,ACWI ex-US,0.10397
Emaar The Economic City,4220-SA,Real Estate,ACWI ex-US,0.103671
Geely Automobile Holdings Limited,175-HK,Consumer Discretionary,ACWI ex-US,0.10266
Epiroc AB Class B,EPI.B-SE,Industrials,ACWI ex-US,0.102611
PT Bank Central Asia Tbk,BBCA-ID,Financials,ACWI ex-US,0.102333
Publicis Groupe SA,PUB-FR,Communication Services,ACWI ex-US,0.102047
Skandinaviska Enskilda Banken AB Class A,SEB.A-SE,Financials,ACWI ex-US,0.101423
PT Bank Rakyat Indonesia (Persero) Tbk Class B,BBRI-ID,Financials,ACWI ex-US,0.101069
Banco Bradesco S.A. Sponsored ADR Pfd,BBD,Financials,ACWI ex-US,0.100839
BYD Company Limited Class H,1211-HK,Consumer Discretionary,ACWI ex-US,0.100505
Telefonica SA,TEF-ES,Communication Services,ACWI ex-US,0.100299
Samsung SDI Co. Ltd,006400-KR,Information Technology,ACWI ex-US,0.100285
Itau Unibanco Holding S.A. Sponsored ADR Pfd,ITUB,Financials,ACWI ex-US,0.099364
Evolution AB,EVO-SE,Consumer Discretionary,ACWI ex-US,0.099089
Sage Group plc,SGE-GB,Information Technology,ACWI ex-US,0.098572
Erste Group Bank AG,EBS-AT,Financials,ACWI ex-US,0.097936
UCB S.A.,UCB-BE,Health Care,ACWI ex-US,0.097622
Sampo Oyj Class A,SAMPO-FI,Financials,ACWI ex-US,0.097478
Canon Inc.,7751-JP,Information Technology,ACWI ex-US,0.09723
